data;regiao;categoria;produto;quantidade;valor_unitario
2026-01-13;Nordeste;Software;Plataforma BI Pro;4;2400.03
2026-12-13;Nordeste;Software;Modulo Fiscal;2;6278.24
2026-01-16;Sul;Software;Plataforma BI Pro;9;6377.36
2026-04-12;Nordeste;Treinamento;Treinamento Excel;4;2351.92
2026-01-04;Nordeste;Licencas;Licenca Anual ERP;12;1583.32
2026-03-21;Sudeste;Licencas;Licenca Office;2;659.69
2026-07-03;Nordeste;Software;Modulo Fiscal;5;8141.3
2026-10-02;Sul;Suporte;Suporte Basico;2;1459.29
2026-07-05;Centro-Oeste;Treinamento;Treinamento Power BI;1;3178.93
2026-02-10;Nordeste;Licencas;Licenca Anual ERP;7;1178.33
2026-03-25;Sudeste;Licencas;Licenca Anual ERP;11;1147.54
2026-11-08;Centro-Oeste;Software;Modulo Fiscal;12;3305.37
2026-07-14;Sudeste;Suporte;Suporte Premium;11;980.99
2026-04-28;Nordeste;Software;Conector API;7;3502.57
2026-10-18;Nordeste;Consultoria;Automacao de Processos;4;12659.3
2026-11-26;Sudeste;Suporte;Suporte Basico;3;817.92
2026-10-03;Sudeste;Treinamento;Treinamento Excel;10;2157.66
2026-03-12;Sudeste;Consultoria;Consultoria de Dados;1;15847.1
2026-11-18;Sul;Consultoria;Automacao de Processos;10;3484.68
2026-11-02;Norte;Suporte;Suporte Basico;9;2107.64
2026-12-15;Nordeste;Software;Modulo Fiscal;9;7657.55
2026-02-27;Sudeste;Licencas;Licenca Anual ERP;8;409.09
2026-09-14;Nordeste;Licencas;Licenca Anual ERP;11;1235.65
2026-11-08;Sul;Treinamento;Treinamento Excel;3;2703.58
2026-01-01;Centro-Oeste;Treinamento;Treinamento Excel;1;1036.28
2026-06-07;Sudeste;Licencas;Licenca Anual ERP;10;3051.46
2026-09-06;Nordeste;Software;Modulo Fiscal;3;2304.17
2026-10-09;Sul;Suporte;Suporte Basico;4;2250.72
2026-06-09;Sudeste;Consultoria;Automacao de Processos;8;16444.02
2026-03-03;Sudeste;Suporte;Suporte Premium;6;344.17
2026-04-28;Centro-Oeste;Treinamento;Treinamento Power BI;2;3360.58
2026-04-28;Sul;Software;Plataforma BI Pro;6;1809.37
2026-05-23;Centro-Oeste;Consultoria;Consultoria de Dados;9;4550.83
2026-10-23;Sudeste;Treinamento;Treinamento Excel;7;1342.6
2026-12-04;Sudeste;Software;Conector API;7;5216.41
2026-12-11;Centro-Oeste;Software;Modulo Fiscal;2;1721.27
2026-02-25;Sudeste;Licencas;Licenca Anual ERP;9;1656.12
2026-04-04;Sudeste;Suporte;Suporte Premium;2;1230.57
2026-02-20;Sul;Treinamento;Treinamento Power BI;2;4212.83
2026-03-27;Sudeste;Consultoria;Automacao de Processos;4;15902.08
2026-03-26;Sudeste;Software;Conector API;5;9168.06
2026-05-27;Sudeste;Suporte;Suporte Basico;3;698.79
2026-01-30;Centro-Oeste;Consultoria;Consultoria de Dados;12;7360.87
2026-10-27;Sudeste;Software;Modulo Fiscal;3;1689.16
2026-02-11;Nordeste;Treinamento;Treinamento Power BI;10;865.05
2026-07-26;Sul;Consultoria;Consultoria de Dados;10;11715.05
2026-02-11;Sudeste;Treinamento;Treinamento Excel;5;1396.61
2026-05-03;Sudeste;Licencas;Licenca Anual ERP;11;2207.4
2026-06-11;Norte;Suporte;Suporte Premium;1;1262.4
2026-02-21;Sul;Treinamento;Treinamento Power BI;9;1634.28
2026-02-05;Nordeste;Licencas;Licenca Office;5;841.69
2026-12-27;Sudeste;Treinamento;Treinamento Power BI;11;3786.71
2026-12-06;Sul;Licencas;Licenca Anual ERP;5;723.2
2026-10-11;Sul;Software;Conector API;10;3011.42
2026-04-15;Nordeste;Licencas;Licenca Office;9;1767.89
2026-02-17;Centro-Oeste;Software;Conector API;1;1230.49
2026-11-23;Norte;Consultoria;Consultoria de Dados;12;9348.45
2026-10-15;Sul;Suporte;Suporte Premium;12;2198.25
2026-01-19;Nordeste;Treinamento;Treinamento Power BI;7;1097.04
2026-07-06;Norte;Licencas;Licenca Anual ERP;6;988.21
2026-12-08;Sul;Consultoria;Automacao de Processos;10;14116.9
2026-03-25;Norte;Consultoria;Consultoria de Dados;7;2884.19
2026-07-30;Nordeste;Licencas;Licenca Anual ERP;5;845.75
2026-07-15;Nordeste;Software;Conector API;4;2916.33
2026-06-29;Sudeste;Suporte;Suporte Premium;4;349.7
2026-07-24;Sudeste;Consultoria;Consultoria de Dados;5;7942.77
2026-07-24;Centro-Oeste;Treinamento;Treinamento Excel;1;1049.83
2026-04-02;Centro-Oeste;Licencas;Licenca Office;1;703.53
2026-06-26;Nordeste;Suporte;Suporte Basico;7;1573.04
2026-03-01;Sudeste;Treinamento;Treinamento Power BI;5;773.11
2026-01-01;Sudeste;Suporte;Suporte Premium;6;1205.72
2026-11-16;Sudeste;Licencas;Licenca Anual ERP;12;2920.13
2026-06-08;Centro-Oeste;Treinamento;Treinamento Excel;7;3319.11
2026-03-07;Sul;Treinamento;Treinamento Excel;11;3517.72
2026-11-12;Centro-Oeste;Consultoria;Automacao de Processos;9;15422.74
2026-05-27;Sudeste;Licencas;Licenca Office;8;1637.0
2026-09-19;Sudeste;Consultoria;Consultoria de Dados;11;3814.33
2026-12-06;Centro-Oeste;Treinamento;Treinamento Excel;2;3791.85
2026-12-11;Sudeste;Consultoria;Consultoria de Dados;3;2878.59
2026-09-01;Centro-Oeste;Consultoria;Consultoria de Dados;8;8923.84
2026-04-10;Nordeste;Treinamento;Treinamento Excel;8;2158.65
2026-12-02;Nordeste;Consultoria;Consultoria de Dados;7;5892.04
2026-08-26;Sul;Treinamento;Treinamento Power BI;2;2380.2
2026-12-08;Sudeste;Suporte;Suporte Basico;8;1586.57
2026-08-07;Nordeste;Treinamento;Treinamento Excel;3;3500.26
2026-08-19;Sudeste;Suporte;Suporte Premium;11;882.35
2026-09-06;Centro-Oeste;Treinamento;Treinamento Excel;8;902.19
2026-05-01;Sudeste;Licencas;Licenca Office;9;625.62
2026-04-29;Sudeste;Consultoria;Consultoria de Dados;12;5816.27
2026-07-28;Sudeste;Suporte;Suporte Basico;7;430.76
2026-07-19;Norte;Suporte;Suporte Premium;10;1098.8
2026-06-30;Sudeste;Software;Conector API;7;5828.7
2026-11-05;Norte;Treinamento;Treinamento Excel;4;1664.45
2026-01-15;Sudeste;Suporte;Suporte Basico;12;646.59
2026-03-07;Norte;Suporte;Suporte Premium;7;1542.97
2026-02-12;Centro-Oeste;Software;Plataforma BI Pro;8;2762.87
2026-07-14;Sudeste;Licencas;Licenca Office;6;1345.0
2026-05-23;Nordeste;Suporte;Suporte Basico;5;2053.31
2026-01-10;Nordeste;Suporte;Suporte Premium;6;770.87
2026-11-30;Sul;Software;Plataforma BI Pro;4;2914.5
2026-11-15;Sul;Software;Plataforma BI Pro;8;6957.35
2026-04-22;Sudeste;Treinamento;Treinamento Excel;6;1254.38
2026-02-28;Nordeste;Treinamento;Treinamento Power BI;5;1021.59
2026-06-09;Centro-Oeste;Software;Conector API;7;9296.65
2026-02-08;Centro-Oeste;Consultoria;Consultoria de Dados;2;13306.49
2026-12-17;Centro-Oeste;Licencas;Licenca Anual ERP;10;2591.38
2026-09-30;Sudeste;Licencas;Licenca Office;2;1816.69
2026-01-07;Nordeste;Licencas;Licenca Office;2;1613.87
